Rank,Compound,ChEMBL_ID,Score,Phase,Aging_Targets,Lifespan_Pct,pChEMBL,Known_Geroprotector,Mechanisms,Sources
1,Rapamycin,CHEMBL413,0.5193,4,0,14.78,9.7,True,mTOR inhibitor,curado; drugage
2,SOMATROPIN,CHEMBL1201621,0.495,4,1,0.0,0.0,False,Growth hormone receptor agonist,open_targets
3,REGORAFENIB,CHEMBL1946170,0.4817,4,2,0.0,0.0,False,MAP kinase p38 beta inhibitor,open_targets
4,VENETOCLAX,CHEMBL3137309,0.4485,4,1,0.0,0.0,False,Apoptosis regulator Bcl-2 inhibitor,open_targets
5,NINTEDANIB ESYLATE,CHEMBL3039504,0.445,4,2,0.0,0.0,False,Platelet-derived growth factor receptor inhibitor,open_targets
6,PAZOPANIB HYDROCHLORIDE,CHEMBL1201733,0.445,4,2,0.0,0.0,False,Macrophage colony stimulating factor receptor inhibitor,open_targets
7,BARDOXOLONE METHYL,CHEMBL1762621,0.4417,3,2,0.0,0.0,False,Peroxisome proliferator-activated receptor gamma antagonist,open_targets
8,PAZOPANIB,CHEMBL477772,0.4417,3,2,0.0,0.0,False,Macrophage colony stimulating factor receptor inhibitor,open_targets
9,BEZAFIBRATE,CHEMBL264374,0.4379,4,1,13.0,0.0,False,Peroxisome proliferator-activated receptor agonist,open_targets; drugage
10,Metformin,CHEMBL1431,0.4375,4,0,9.94,4.54,True,AMPK activator,curado; drugage
11,NINTEDANIB,CHEMBL502835,0.435,3,2,0.0,0.0,False,Platelet-derived growth factor receptor inhibitor,open_targets
12,Resveratrol,CHEMBL71,0.4346,3,0,7.16,9.15,True,SIRT1 activator,curado; drugage
13,Spermidine,CHEMBL14240,0.4263,2,0,60.5,5.52,True,Autophagy inducer,curado; drugage
14,DACTOLISIB,CHEMBL1879463,0.425,3,2,0.0,0.0,False,PI3-kinase class I inhibitor,open_targets
15,GEDATOLISIB,CHEMBL592445,0.4216,3,2,0.0,0.0,False,PI3-kinase class I inhibitor,open_targets
16,SILTUXIMAB,CHEMBL1743070,0.4116,4,1,0.0,0.0,False,Interleukin-6 antagonist,open_targets
17,ROSIGLITAZONE,CHEMBL121,0.4017,4,1,0.0,0.0,False,Peroxisome proliferator-activated receptor gamma agonist,open_targets
18,Acarbose,CHEMBL1566,0.3989,4,0,9.78,0.0,True,Alpha-glucosidase inhibitor,curado; drugage
19,MECASERMIN,CHEMBL1201716,0.3984,4,1,0.0,0.0,False,Insulin-like growth factor I receptor agonist,open_targets
20,Dasatinib,CHEMBL1421,0.3963,4,0,0.0,7.58,True,Senolytic (tyrosine kinase inhibitor),curado
21,PIOGLITAZONE,CHEMBL595,0.3951,4,1,0.0,0.0,False,Peroxisome proliferator-activated receptor gamma agonist,open_targets
22,BRIVANIB,CHEMBL377300,0.395,3,2,0.0,0.0,False,Vascular endothelial growth factor receptor inhibitor,open_targets
23,Quercetin,CHEMBL159,0.3927,2,0,8.56,9.1,True,Senolytic (PI3K/AKT),curado; drugage
24,Fisetin,CHEMBL159654,0.3862,2,0,12.86,7.43,True,Senolytic (PI3K/AKT/mTOR),curado; drugage
25,BUPARLISIB,CHEMBL2017974,0.375,3,1,0.0,0.0,False,PI3-kinase class I inhibitor,open_targets
26,SAMOTOLISIB,CHEMBL4297181,0.375,2,2,0.0,0.0,False,PI3-kinase class I inhibitor,open_targets
27,MESALAMINE,CHEMBL704,0.375,4,1,0.0,0.0,False,Peroxisome proliferator-activated receptor gamma agonist,open_targets
28,INSULIN GLARGINE,CHEMBL1201497,0.375,4,1,0.0,0.0,False,Insulin receptor agonist,open_targets
29,NAVITOCLAX,CHEMBL443684,0.37,3,1,0.0,0.0,True,Apoptosis regulator Bcl-2 inhibitor,open_targets
30,RIDAFOROLIMUS,CHEMBL2103839,0.3551,3,1,0.0,0.0,False,Serine/threonine-protein kinase mTOR inhibitor,open_targets
31,SF-1126,CHEMBL2326966,0.345,2,2,0.0,0.0,False,PI3-kinase class I inhibitor,open_targets
32,APITOLISIB,CHEMBL1922094,0.345,2,2,0.0,0.0,False,PI3-kinase class I inhibitor,open_targets
33,VOXTALISIB,CHEMBL3545366,0.345,2,2,0.0,0.0,False,PI3-kinase class I inhibitor,open_targets
34,PF-04691502,CHEMBL1234354,0.345,2,2,0.0,0.0,False,PI3-kinase class I inhibitor,open_targets
35,PERHEXILINE,CHEMBL75880,0.345,4,1,0.0,0.0,False,Serine/threonine-protein kinase mTOR inhibitor,open_targets
36,PEGVISOMANT,CHEMBL1201515,0.345,4,1,0.0,0.0,False,Growth hormone receptor antagonist,open_targets
37,SOMATROGON,CHEMBL4297830,0.345,4,1,0.0,0.0,False,Growth hormone receptor agonist,open_targets
38,LONAPEGSOMATROPIN,CHEMBL4298185,0.345,4,1,0.0,0.0,False,Growth hormone receptor agonist,open_targets
39,SOMAPACITAN,CHEMBL3707290,0.345,4,1,0.0,0.0,False,Growth hormone receptor agonist,open_targets
40,OMAVELOXOLONE,CHEMBL4303525,0.345,4,1,0.0,0.0,False,Nuclear factor erythroid 2-related factor 2 activator,open_targets
41,TROGLITAZONE,CHEMBL408,0.345,4,1,0.0,0.0,False,Peroxisome proliferator-activated receptor gamma agonist,open_targets
42,ROSIGLITAZONE MALEATE,CHEMBL843,0.345,4,1,0.0,0.0,False,Peroxisome proliferator-activated receptor gamma agonist,open_targets
43,OLSALAZINE SODIUM,CHEMBL1201013,0.345,4,1,0.0,0.0,False,Peroxisome proliferator-activated receptor gamma agonist,open_targets
44,BALSALAZIDE DISODIUM,CHEMBL1200760,0.345,4,1,0.0,0.0,False,Peroxisome proliferator-activated receptor gamma agonist,open_targets
45,PIOGLITAZONE HYDROCHLORIDE,CHEMBL1715,0.345,4,1,0.0,0.0,False,Peroxisome proliferator-activated receptor gamma agonist,open_targets
46,MASOPROCOL,CHEMBL313972,0.345,4,1,0.0,0.0,False,Insulin-like growth factor I receptor inhibitor,open_targets
47,TEPROTUMUMAB,CHEMBL1743079,0.345,4,1,0.0,0.0,False,Insulin-like growth factor I receptor antagonist,open_targets
48,FUTIBATINIB,CHEMBL3701238,0.345,4,1,0.0,0.0,False,Fibroblast growth factor receptor inhibitor,open_targets
49,INFIGRATINIB,CHEMBL1852688,0.345,4,1,0.0,0.0,False,Fibroblast growth factor receptor inhibitor,open_targets
